DATE,WPU01130217
9/1/1979,72.5
10/1/1979,109.8
11/1/1979,145.1
12/1/1979,78.8
1/1/1980,103.6
2/1/1980,78.8
3/1/1980,85
4/1/1980,103.6
5/1/1980,87.1
6/1/1980,111.9
7/1/1980,73.9
8/1/1980,93.3
9/1/1980,95.3
10/1/1980,120.2
11/1/1980,76.7
12/1/1980,74.6
1/1/1981,111.9
2/1/1981,178.2
3/1/1981,257
4/1/1981,161.7
5/1/1981,58
6/1/1981,78.8
7/1/1981,103.6
8/1/1981,93.7
9/1/1981,107.8
10/1/1981,103.6
11/1/1981,74.6
12/1/1981,72.5
1/1/1982,87.1
2/1/1982,123.7
3/1/1982,132.9
4/1/1982,73.3
5/1/1982,77.9
6/1/1982,148.9
7/1/1982,114.5
8/1/1982,58
9/1/1982,65.3
10/1/1982,96.2
11/1/1982,121.4
12/1/1982,100.8
1/1/1983,77.9
2/1/1983,112.2
3/1/1983,217.6
4/1/1983,142
5/1/1983,132.9
6/1/1983,73.3
7/1/1983,95.1
8/1/1983,67
9/1/1983,87.1
10/1/1983,155.8
11/1/1983,87.1
12/1/1983,68.7
1/1/1984,114.5
2/1/1984,187.8
3/1/1984,160.4
4/1/1984,93.9
5/1/1984,87.1
6/1/1984,105.4
7/1/1984,87.1
8/1/1984,135.9
9/1/1984,.
10/1/1984,93.9
11/1/1984,77.9
12/1/1984,59.6
1/1/1985,75.6
2/1/1985,91.6
3/1/1985,169.5
4/1/1985,217.6
5/1/1985,59.6
6/1/1985,68.7
7/1/1985,93.9
8/1/1985,99.3
9/1/1985,80.2
10/1/1985,98.5
11/1/1985,87.1
12/1/1985,132.9
1/1/1986,132.9
2/1/1986,77.9
3/1/1986,123.7
4/1/1986,114.5
5/1/1986,105.4
6/1/1986,68.7
7/1/1986,93.9
8/1/1986,80.9
9/1/1986,75.6
10/1/1986,123.7
11/1/1986,114.5
12/1/1986,142
1/1/1987,75.6
2/1/1987,68.7
3/1/1987,105.4
4/1/1987,96.2
5/1/1987,77.9
6/1/1987,105.4
7/1/1987,.
8/1/1987,57.3
9/1/1987,114.5
10/1/1987,105.4
11/1/1987,197
12/1/1987,87.1
1/1/1988,93.9
2/1/1988,82.5
3/1/1988,87.1
4/1/1988,112.2
5/1/1988,87.1
6/1/1988,77.9
7/1/1988,96.2
8/1/1988,100.8
9/1/1988,114.5
10/1/1988,102.3
11/1/1988,114.5
12/1/1988,64.1
1/1/1989,71
2/1/1989,183.3
3/1/1989,96.2
4/1/1989,114.5
5/1/1989,233.7
6/1/1989,87.1
7/1/1989,98.5
8/1/1989,87.1
9/1/1989,63
10/1/1989,112.2
11/1/1989,87.1
12/1/1989,119.1
1/1/1990,265.7
2/1/1990,421.5
3/1/1990,206.2
4/1/1990,55
5/1/1990,59.6
6/1/1990,91.6
7/1/1990,87.8
8/1/1990,77.9
9/1/1990,77.2
10/1/1990,99
11/1/1990,110
12/1/1990,91.6
1/1/1991,73.3
2/1/1991,80.2
3/1/1991,96.2
4/1/1991,123.7
5/1/1991,201.6
6/1/1991,201.6
7/1/1991,121.4
8/1/1991,70.3
9/1/1991,74.5
10/1/1991,68.7
11/1/1991,93.9
12/1/1991,55
1/1/1992,156.7
2/1/1992,279.9
3/1/1992,244.1
4/1/1992,107.4
5/1/1992,59.2
6/1/1992,89.6
7/1/1992,93.4
8/1/1992,82.9
9/1/1992,97.5
10/1/1992,188.8
11/1/1992,143.7
12/1/1992,169.5
1/1/1993,143.9
2/1/1993,97.6
3/1/1993,79.8
4/1/1993,158.2
5/1/1993,262.9
6/1/1993,84.7
7/1/1993,77.6
8/1/1993,138.6
9/1/1993,150.8
10/1/1993,91.7
11/1/1993,186.7
12/1/1993,285.1
1/1/1994,227.2
2/1/1994,81.2
3/1/1994,103.3
4/1/1994,112.2
5/1/1994,109.8
6/1/1994,97.2
7/1/1994,108.7
8/1/1994,134.8
9/1/1994,113.1
10/1/1994,117.3
11/1/1994,137.5
12/1/1994,273.4
1/1/1995,194
2/1/1995,134.4
3/1/1995,197.6
4/1/1995,166.9
5/1/1995,59.5
6/1/1995,181.6
7/1/1995,137
8/1/1995,82.2
9/1/1995,128.8
10/1/1995,130.7
11/1/1995,162.8
12/1/1995,212
1/1/1996,100.4
2/1/1996,171.1
3/1/1996,355
4/1/1996,282.9
5/1/1996,122.8
6/1/1996,94.6
7/1/1996,105.3
8/1/1996,97.4
9/1/1996,98.5
10/1/1996,136.8
11/1/1996,116.1
12/1/1996,86.1
1/1/1997,85.6
2/1/1997,145.9
3/1/1997,243.6
4/1/1997,109.4
5/1/1997,122.6
6/1/1997,118.2
7/1/1997,113.4
8/1/1997,106.5
9/1/1997,113.5
10/1/1997,93.2
11/1/1997,146.8
12/1/1997,158.9
1/1/1998,90
2/1/1998,146.4
3/1/1998,138
4/1/1998,133.6
5/1/1998,145.7
6/1/1998,99.7
7/1/1998,229
8/1/1998,115.4
9/1/1998,152.6
10/1/1998,260.6
11/1/1998,188.4
12/1/1998,248.8
1/1/1999,199.3
2/1/1999,91.4
3/1/1999,132.9
4/1/1999,118.6
5/1/1999,100.9
6/1/1999,166.8
7/1/1999,107.3
8/1/1999,118.8
9/1/1999,155.5
10/1/1999,82.2
11/1/1999,82.2
12/1/1999,135.9
1/1/2000,69.9
2/1/2000,95.5
3/1/2000,108.7
4/1/2000,144.9
5/1/2000,110.4
6/1/2000,103.3
7/1/2000,99.4
8/1/2000,167.5
9/1/2000,108.3
10/1/2000,249.3
11/1/2000,189.2
12/1/2000,115.2
1/1/2001,163.9
2/1/2001,122.7
3/1/2001,323
4/1/2001,115.8
5/1/2001,241.2
6/1/2001,134.9
7/1/2001,108.9
8/1/2001,107.1
9/1/2001,89.9
10/1/2001,121.4
11/1/2001,118
12/1/2001,73.8
1/1/2002,207.7
2/1/2002,108.9
3/1/2002,129.5
4/1/2002,122.6
5/1/2002,89.6
6/1/2002,115.9
7/1/2002,133.1
8/1/2002,102.7
9/1/2002,87.2
10/1/2002,144.7
11/1/2002,185.3
12/1/2002,199.6
1/1/2003,227.8
2/1/2003,137.3
3/1/2003,225.8
4/1/2003,126.6
5/1/2003,87.3
6/1/2003,168.3
7/1/2003,187.1
8/1/2003,224.9
9/1/2003,166.2
10/1/2003,149.2
11/1/2003,163.9
12/1/2003,166.6
1/1/2004,117
2/1/2004,131.7
3/1/2004,209.3
4/1/2004,204.6
5/1/2004,217.7
6/1/2004,89.3
7/1/2004,111
8/1/2004,168.6
9/1/2004,171.6
10/1/2004,333.9
11/1/2004,415
12/1/2004,204.9
1/1/2005,97
2/1/2005,169.6
3/1/2005,193.7
4/1/2005,175.9
5/1/2005,196.5
6/1/2005,206.1
7/1/2005,170.2
8/1/2005,115.3
9/1/2005,173.4
10/1/2005,195.2
11/1/2005,202.8
12/1/2005,288.5
1/1/2006,465.7
2/1/2006,178.2
3/1/2006,119.8
4/1/2006,139.6
5/1/2006,118.9
6/1/2006,155.3
7/1/2006,128.2
8/1/2006,157.3
9/1/2006,324
10/1/2006,284.8
11/1/2006,136.1
12/1/2006,136.7
1/1/2007,146.7
2/1/2007,197.8
3/1/2007,153.2
4/1/2007,223.4
5/1/2007,167.6
6/1/2007,133
7/1/2007,135.6
8/1/2007,125.4
9/1/2007,127
10/1/2007,266.9
11/1/2007,267.2
12/1/2007,412.9
1/1/2008,311.2
2/1/2008,223.5
3/1/2008,409.5
4/1/2008,285.5
5/1/2008,222.5
6/1/2008,297.8
7/1/2008,160.7
8/1/2008,142.9
9/1/2008,127.7
10/1/2008,158.5
11/1/2008,290
12/1/2008,156
1/1/2009,118.8
2/1/2009,144.8
3/1/2009,143.7
4/1/2009,223.1
5/1/2009,119.5
6/1/2009,323.6
7/1/2009,141.6
8/1/2009,152.4
9/1/2009,147.1
10/1/2009,187.8
11/1/2009,259.7
12/1/2009,308.5
1/1/2010,249.5
2/1/2010,253.7
3/1/2010,471.9
4/1/2010,383.9
5/1/2010,280.4
6/1/2010,105.9
7/1/2010,178.6
8/1/2010,173.6
9/1/2010,225.4
10/1/2010,146.7
11/1/2010,132.3
12/1/2010,127.7
1/1/2011,179.1
2/1/2011,468.5
3/1/2011,343.1
4/1/2011,265.5
5/1/2011,140.3
6/1/2011,184.2
7/1/2011,161.5
8/1/2011,153.2
9/1/2011,216
10/1/2011,190.4
11/1/2011,188.3
12/1/2011,118.8
1/1/2012,146.3
2/1/2012,130.2
3/1/2012,199.5
4/1/2012,115.6
5/1/2012,134.9
6/1/2012,148.1
7/1/2012,138.2
8/1/2012,156
9/1/2012,184.6
10/1/2012,155.1
11/1/2012,190.3
12/1/2012,205.7
1/1/2013,140.1
2/1/2013,138.3
3/1/2013,206.4
4/1/2013,181.9
5/1/2013,284
6/1/2013,216.4
7/1/2013,139.6
8/1/2013,239.2
9/1/2013,219.1
10/1/2013,167.5
11/1/2013,185.3
12/1/2013,171.4
1/1/2014,138.1
2/1/2014,171.3
3/1/2014,174.9
4/1/2014,170
5/1/2014,122.2
6/1/2014,210.6
7/1/2014,158.2
8/1/2014,158.8
9/1/2014,123.6
10/1/2014,315.3
11/1/2014,291.3
12/1/2014,303.8
1/1/2015,173.5
2/1/2015,173.3
3/1/2015,197.4
4/1/2015,206.2
5/1/2015,138.2
6/1/2015,211.3
7/1/2015,165.5
8/1/2015,232.8
9/1/2015,238
10/1/2015,279
11/1/2015,190.3
12/1/2015,236.4
1/1/2016,454.4
2/1/2016,487.7
3/1/2016,322.4
4/1/2016,188.6
5/1/2016,136.2
6/1/2016,267.9
7/1/2016,184
8/1/2016,245.9
9/1/2016,363.4
10/1/2016,309.2
11/1/2016,234.8
12/1/2016,170.6
1/1/2017,194.3
2/1/2017,215
3/1/2017,210.9
4/1/2017,256.7
5/1/2017,273.4
6/1/2017,438.3
7/1/2017,148.9
8/1/2017,221.6
9/1/2017,290.7
10/1/2017,205.8
